Title
Montana passes Right to Compute act (2025) (westernmt.news)
1M context is now generally available for Opus 4.6 and Sonnet 4.6 (claude.com)
"Baochip-1x: What it is, why I'm doing it now and how it came about (crowdsupply.com)"
Python: The Optimization Ladder (cemrehancavdar.com)
Cookie jars capture American kitsch (2023) (eater.com)
NMAP in the Movies (nmap.org)
Megadev: A Development Kit for the Sega Mega Drive and Mega CD Hardware (github.com/drojaazu)
XML Is a Cheap DSL (unplannedobsolescence.com)
Wired headphone sales are exploding (bbc.com)
9 Mothers Defense (YC P26) Is Hiring in Austin (ashbyhq.com)
Online astroturfing: A problem beyond disinformation (sagepub.com)
Philosoph Jürgen Habermas Gestorben (spiegel.de)
RAM kits are now sold with one fake RAM stick alongside a real one (tomshardware.com)
Nominal Types in WebAssembly (wingolog.org)
Everything you never wanted to know about visually-hidden (dbushell.com)
Starlink Militarization and Its Impact on Global Strategic Stability (csis.org)
Show HN: GitAgent – An open standard that turns any Git repo into an AI agent (gitagent.sh)
Show HN: Channel Surfer – Watch YouTube like it’s cable TV (channelsurfer.tv)
Mouser: An open source alternative to Logi-Plus mouse software (github.com/tombadash)
The Isolation Trap: Erlang (causality.blog)
Digg is gone again (digg.com)
Hammerspoon (github.com/hammerspoon)
Can I run AI locally? (canirun.ai)
Secure Secrets Management for Cursor Cloud Agents (infisical.com)
Show HN: Ink – Deploy full-stack apps from AI agents via MCP or Skills (ml.ink)
Recursive Problems Benefit from Recursive Solutions (jnkr.tech)
I found 39 Algolia admin keys exposed across open source documentation sites (benzimmermann.dev)
Michael Faraday: Scientist and Nonconformist (1996) (psfc.mit.edu)
Atari 2600 BASIC Programming (2015) (huguesjohnson.com)
A Survival Guide to a PhD (2016) (karpathy.github.io)
